drive_file_id,title,herb_ko,herb_hanja,latin_drug_name,category,subcategory,source_book,source_volume,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,status,ocr_uncertain,safety_flags,last_reviewed,file_size_bytes,created_time,modified_time,has_frontmatter,schema_variant,wikilinks,notes
1DDws3uHJ4oHmj0Qx6KUKka3crPin52Nn,과루 瓜萎,과루,瓜萎,Trichosanthis Semen,화담지해평천약,청화열담약,운곡본초학,하,1048,1050,299,302,SOURCE_INGESTED,true,[],2026-09-10,7629,2026-09-09T22:21:46.202Z,2026-09-09T22:21:46.202Z,TRUE,V2,핵심주의_INDEX;화담지해평천약,
1IQpiwkH4_JxgDAWBLye6aG5Sg1rrfG83,과체 瓜蒂,과체,瓜蒂,Melonis Pedicellus,용토약,,운곡본초학,하,1425,1426,676,678,SOURCE_INGESTED,true,"[""EMETIC"", ""TOXICITY_REVIEW_REQUIRED""]",2026-09-10,5684,2026-09-09T22:21:53.818Z,2026-09-09T22:21:53.818Z,TRUE,V2,핵심주의_INDEX;용토약,
1W5MeWFBIITQCJjH5XVNIvoF7YuU5YLEu,관동화 款冬花,관동화,款冬花,Farfarae Flos,화담지해평천약,지해평천약,운곡본초학,하,1086,1087,337,339,SOURCE_INGESTED,true,[],2026-09-10,6485,2026-09-09T22:22:01.590Z,2026-09-09T22:22:01.590Z,TRUE,V2,핵심주의_INDEX;화담지해평천약,
1kQjjLZzEtA9xvA-NlviruMOQAnB4056d,관중 貫衆,관중,貫衆,Dryopteridis Crassirhizomatis Rhizoma,구충약,,운곡본초학,하,888,893,139,145,SOURCE_INGESTED,true,[],2026-09-10,12016,2026-09-09T22:22:09.700Z,2026-09-09T22:22:09.700Z,TRUE,V2,핵심주의_INDEX;구충약,"SNIPPET_TRUNCATED: body text cut (9707 of 12016 bytes shown); frontmatter block complete, wikilink list may be incomplete"
1BXDZcZhCf2A-dUn6luktJaKe1NsYuCsq,괴화 槐花,괴화,槐花,Sophorae Flos,지혈약,량혈지혈약,운곡본초학,하,912,913,163,165,SOURCE_INGESTED,true,[],2026-09-10,6064,2026-09-09T22:22:17.490Z,2026-09-09T22:22:17.490Z,TRUE,V2,핵심주의_INDEX;지혈약,
10clW71Fumd16XnMOaP4H2Qz2UEi6VshQ,구기자 拘祀子,구기자,拘祀子,Lycii Fructus,보익약,보음약,운곡본초학,하,1346,1348,597,600,SOURCE_INGESTED,true,[],2026-09-10,8903,2026-09-09T22:22:25.055Z,2026-09-09T22:22:25.055Z,TRUE,V2,핵심주의_INDEX;보익약,
1diw-V1y90JjDAGKwDXP54WxTVHr2L3UD,구인 蛇!101,구인,蛇!101,Lumbricus,평간식풍약,평간식풍약,운곡본초학,하,1152,1153,403,405,SOURCE_INGESTED,true,[],2026-09-10,6854,2026-09-09T22:22:33.262Z,2026-09-09T22:22:33.262Z,TRUE,V2,핵심주의_INDEX;평간식풍약,
1whM2zz0ce4FcUeJtMKD-hx7lXcemeusF,구자 韭子,구자,韭子,Allii Tuberosi Semen,보익약,보양약,운곡본초학,하,1291,1292,542,544,SOURCE_INGESTED,true,[],2026-09-10,6647,2026-09-09T22:22:55.549Z,2026-09-09T22:22:55.549Z,TRUE,V2,핵심주의_INDEX;보익약,
1j0lnJziP8DusBxcldhC7HzU3QxegYFcj,구척 狗脊,구척,狗脊,Cibotii Rhizoma,보익약,보양약,운곡본초학,하,1265,1266,516,518,SOURCE_INGESTED,true,[],2026-09-10,6266,2026-09-09T22:23:03.171Z,2026-09-09T22:23:03.171Z,TRUE,V2,핵심주의_INDEX;보익약,
1rhi9Yq2MQUW1W00zjv31cjvaj7weLKPI,구판 龜板,구판,龜板,Testudinis Chinemis Plastrum et Carapax,보익약,보음약,운곡본초학,하,1356,1357,607,609,SOURCE_INGESTED,true,"[""WILDLIFE_SOURCE_REVIEW""]",2026-09-10,7490,2026-09-09T22:23:11.192Z,2026-09-09T22:23:11.192Z,TRUE,V2,핵심주의_INDEX;보익약,
1ZXD_O2kwxVeHZVPRxgTShnxLM4bNPe12,권백 卷柏,권백,卷柏,Selaginellae Herba,활혈거어약,,운곡본초학,하,1011,1013,262,265,SOURCE_INGESTED,true,[],2026-09-10,7193,2026-09-09T22:23:18.985Z,2026-09-09T22:23:18.985Z,TRUE,V2,핵심주의_INDEX;활혈거어약,
16qRZKRuBKihmn5EYJYj1JO54HzzD8b-S,금앵자 金樓子,금앵자,金樓子,Rosae Laevigatae Fructus,수삽약,삽정·축뇨·지대약,운곡본초학,하,1409,1410,660,662,SOURCE_INGESTED,true,[],2026-09-10,6522,2026-09-09T22:23:26.724Z,2026-09-09T22:23:26.724Z,TRUE,V2,핵심주의_INDEX;수삽약,
1tgOJfiuuPMnBGSfis7lH8K3DyxzTBx2H,길경 枯梗,길경,枯梗,Platycodonis Radix,화담지해평천약,청화열담약,운곡본초학,하,1045,1047,296,299,SOURCE_INGESTED,true,[],2026-09-10,7556,2026-09-09T22:23:34.468Z,2026-09-09T22:23:34.468Z,TRUE,V2,핵심주의_INDEX;화담지해평천약,
1HF5mDHe66hBvnF2WELPlG5poJh0a3buB,나도근 儒稻根,나도근,儒稻根,Oryzae Rhizoma et Radix,수삽약,지한약,운곡본초학,하,1373,1374,624,626,SOURCE_INGESTED,true,[],2026-09-10,5440,2026-09-09T22:23:42.476Z,2026-09-09T22:23:42.476Z,TRUE,V2,핵심주의_INDEX;수삽약,
1yyug982LA6az2HRIvT1rXzDH1rkVPMSm,나복자 萊酿子,나복자,萊酿子,Raphani Semen,소식약,,운곡본초학,하,865,867,116,119,SOURCE_INGESTED,true,[],2026-09-10,6339,2026-09-09T22:23:50.370Z,2026-09-09T22:23:50.370Z,TRUE,V2,핵심주의_INDEX;소식약,
1DYKyzyVyT72f0eDlF3rIQEhvRa2g-vyO,노감석 爐甘石,노감석,爐甘石,Calamina,외용약,외용약,운곡본초학,하,1450,1451,701,703,SOURCE_INGESTED,true,[],2026-09-10,6862,2026-09-09T22:23:58.159Z,2026-09-09T22:23:58.159Z,TRUE,V2,핵심주의_INDEX;외용약,
1RMhfj4VLAA13XPU9-yeepYc1yBE2_iqR,노봉방 露蜂房,노봉방,露蜂房,Vespae Nidus,외용약,외용약,운곡본초학,하,1458,1459,709,711,SOURCE_INGESTED,true,[],2026-09-10,6192,2026-09-09T22:24:06.859Z,2026-09-09T22:24:06.859Z,TRUE,V2,핵심주의_INDEX;외용약,
1JcEO02SonRxSDRBdiPkj09Vng6wgaSPZ,녹각 鹿角,녹각,鹿角,Cervi Cornu,보익약,보양약,운곡본초학,하,1238,1239,489,491,SOURCE_INGESTED,true,[],2026-09-10,5524,2026-09-09T22:24:14.492Z,2026-09-09T22:24:14.492Z,TRUE,V2,핵심주의_INDEX;보익약,
1gAUgMk5lJJdr_iCzqXyBIBw4wEmDIuZo,녹각교 鹿角膠,녹각교,鹿角膠,Cervi Cornus Colla,보익약,보양약,운곡본초학,하,1240,1241,491,493,SOURCE_INGESTED,true,[],2026-09-10,4694,2026-09-09T22:24:23.609Z,2026-09-09T22:24:23.609Z,TRUE,V2,핵심주의_INDEX;보익약,
1c9_NbSbg34bWn0sT7ucS3-1y9Vlmc6sB,녹각상 鹿角霜,녹각상,鹿角霜,Cervi Cornu Degelatinatum,보익약,보양약,운곡본초학,하,1242,1242,493,494,SOURCE_INGESTED,true,[],2026-09-10,3528,2026-09-09T22:24:31.596Z,2026-09-09T22:24:31.596Z,TRUE,V2,핵심주의_INDEX;보익약,
1Zj2uRtZ_0n0nO5DDOEJ_mtaqMiHmFyKd,녹용 鹿奪,녹용,鹿奪,Cervi Parvum Comu,보익약,보양약,운곡본초학,하,1231,1237,482,489,SOURCE_INGESTED,true,[],2026-09-10,23172,2026-09-09T22:24:39.830Z,2026-09-09T22:24:39.830Z,TRUE,V2,핵심주의_INDEX;보익약,"SNIPPET_TRUNCATED: body text cut (9225 of 23172 bytes shown); frontmatter block complete, wikilink list may be incomplete"
1TKVCsZyq9COqsxNQnaed2_4cOpuOjBt7,뇌환 雷丸,뇌환,雷丸,Omphalia,구충약,,운곡본초학,하,880,881,131,133,SOURCE_INGESTED,true,[],2026-09-10,5148,2026-09-09T22:24:48.181Z,2026-09-09T22:24:48.181Z,TRUE,V2,핵심주의_INDEX;구충약,
1heWHHNYN-D0Tt8HOT8hiCv6zFGab0LzX,능소화 凌霄花,능소화,凌霄花,Campsitis Flos,활혈거어약,,운곡본초학,하,993,994,244,246,SOURCE_INGESTED,true,[],2026-09-10,5138,2026-09-09T22:24:55.725Z,2026-09-09T22:24:55.725Z,TRUE,V2,핵심주의_INDEX;활혈거어약,
1pn4qvxYks23U8_D2wb0Z9WTROIJfO8DI,단삼 丹參,단삼,丹參,Salviae Miltiorrhizae Radix,활혈거어약,,운곡본초학,하,963,965,,,SSOT,false,,2026-09-10,1634,2026-09-09T20:56:23.675Z,2026-09-09T20:56:23.675Z,TRUE,V2,당귀,
1846o-L_PURmoLbACufjlXtmny2zJJZDE,단향 植香,단향,植香,Santali Albi Lignum,이기약,,운곡본초학,하,842,843,93,95,SOURCE_INGESTED,true,[],2026-09-10,6108,2026-09-09T22:25:03.678Z,2026-09-09T22:25:03.678Z,TRUE,V2,핵심주의_INDEX;이기약,
1vhdjq1WFF03fOFCLgPG-hh4ZwiWMgcsr,담반 膽攀,담반,膽攀,Chalcanthitum,용토약,,운곡본초학,하,1430,1430,681,682,SOURCE_INGESTED,true,"[""COPPER_SALT"", ""TOXICITY_REVIEW_REQUIRED""]",2026-09-10,4582,2026-09-09T22:25:11.396Z,2026-09-09T22:25:11.396Z,TRUE,V2,핵심주의_INDEX;용토약,
1sOQ7bZwmr3H88rBz2JLqxZgZw25cqXFV,당귀 當歸,당귀,當歸,Angelicae Gigantis Radix,보익약/보혈약,,운곡본초학,하,1303,1308,,,PARTIAL,true,,2026-09-10,1709,2026-09-09T20:56:36.913Z,2026-09-09T20:56:36.913Z,TRUE,V2,숙지황;단삼,
19OwLELoqdwElFSQgi3QyNAo4gb4a2UKJ,당삼 黨参,당삼,黨参,Codonopsis Pilosulae Radix,보익약,보기약,운곡본초학,하,1205,1207,456,459,SOURCE_INGESTED,true,[],2026-09-10,8422,2026-09-09T22:25:19.771Z,2026-09-09T22:25:19.771Z,TRUE,V2,핵심주의_INDEX;보익약,
13gfCUpms5TtvboaOARzz377w5qp28kJq,대계 ᄎ莉,대계,ᄎ莉,Cirsii Herba,지혈약,량혈지혈약,운곡본초학,하,904,906,155,158,SOURCE_INGESTED,true,[],2026-09-10,7927,2026-09-09T22:25:27.556Z,2026-09-09T22:25:27.556Z,TRUE,V2,핵심주의_INDEX;지혈약,
1RehaEiUdDdHrOVo9C8lWOUQwhfr5qiex,대복피 * 腹皮,대복피,* 腹皮,Arecae Pericarpium,이기약,,운곡본초학,하,848,849,99,101,SOURCE_INGESTED,true,[],2026-09-10,6917,2026-09-09T22:25:50.685Z,2026-09-09T22:25:50.685Z,TRUE,V2,핵심주의_INDEX;이기약,
1t2a5vAdr0ErUqkOgcdD1dczJzKPpjJ3j,대자석 代赫石,대자석,代赫石,Haematitum,평간식풍약,평간잠양약,운곡본초학,하,1164,1165,415,417,SOURCE_INGESTED,true,[],2026-09-10,5835,2026-09-09T22:25:58.646Z,2026-09-09T22:25:58.646Z,TRUE,V2,핵심주의_INDEX;평간식풍약,
